player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR
00-0033859,Joshua Malone,WR,8,18.3,2.29,-115.3,-55.0,-1.286,-0.619
00-0031922,Khari Lee,TE,6,0.0,0.0,-96.1,-53.2,-1.094,-0.621
00-0030485,Eddie Lacy,RB,9,28.6,3.18,-116.0,-52.8,-1.342,-0.626
00-0033110,Tyler Higbee,TE,13,65.8,5.06,-144.7,-55.8,-1.616,-0.627
00-0026293,Matthew Slater,WR,6,0.0,0.0,-97.0,-54.1,-1.102,-0.63
00-0031189,Tai-ler Jones,WR,13,66.3,5.1,-149.3,-55.7,-1.682,-0.633
00-0032464,Kalif Raymond,WR,6,2.1,0.35,-98.5,-55.9,-1.095,-0.637
00-0031021,Jared Abbrederis,WR,7,7.4,1.06,-107.6,-56.6,-1.207,-0.648
00-0033006,Jaydon Mickens,WR,7,8.1,1.16,-110.0,-57.6,-1.218,-0.652
00-0026213,Jamaal Charles,RB,13,67.5,5.19,-149.9,-55.8,-1.709,-0.655
00-0031390,Charles Sims,RB,13,65.3,5.02,-152.3,-57.4,-1.717,-0.656
00-0029638,Michael Floyd,WR,8,16.8,2.1,-115.8,-57.1,-1.312,-0.66
00-0032377,Joshua Ferguson,RB,7,5.1,0.73,-109.7,-59.0,-1.23,-0.679
00-0031598,Nicholas Boyle,TE,12,51.1,4.26,-144.5,-60.0,-1.627,-0.682
00-0030422,Dion Sims,TE,11,40.2,3.65,-140.2,-61.9,-1.561,-0.693
00-0029738,Darren Fells,TE,13,58.5,4.5,-151.7,-61.9,-1.702,-0.703
00-0030663,Willie Snead,WR,8,12.3,1.54,-120.8,-61.4,-1.369,-0.713
00-0030516,Brice Butler,WR,12,51.7,4.31,-147.0,-60.2,-1.686,-0.717
00-0031025,Michael Campanaro,WR,10,32.2,3.22,-132.7,-63.5,-1.474,-0.718
00-0033079,Ricardo Louis,WR,13,58.2,4.48,-156.9,-64.5,-1.753,-0.724
00-0031075,Alfred Blue,RB,8,10.8,1.35,-120.0,-62.2,-1.37,-0.728
00-0029640,Brian Quick,WR,8,11.7,1.46,-121.9,-65.0,-1.347,-0.733
