player_id,name,pos,gp,pts,WAA,WAR
00-0038941,Tyler Scott,WR,22,22.6,-3.849,-2.083
00-0034681,Chase Edmonds,RB,65,446.9,-7.571,-2.086
00-0029534,Cooper Helfet,TE,26,54.6,-4.204,-2.091
00-0030668,Charcandrick West,RB,44,231.0,-5.723,-2.092
00-0037112,Jake Tonges,TE,29,85.6,-4.167,-2.093
00-0035891,Cody White,WR,23,29.3,-3.917,-2.104
00-0035039,Stephen Carlson,TE,22,21.0,-3.621,-2.108
00-0032724,Bryce Treggs,WR,22,24.8,-3.813,-2.111
00-0031788,Matthew Lengel,TE,21,12.2,-3.654,-2.112
00-0031514,JaQuan Bray,WR,21,14.2,-3.752,-2.116
00-0031897,Thomas Rawls,RB,42,214.3,-5.509,-2.124
00-0037525,Jordan Mason,RB,50,277.4,-6.389,-2.125
00-0038647,Ronnie Bell,WR,22,19.3,-3.9,-2.126
00-0035289,Gardner Minshew,QB,78,567.6,-10.061,-2.131
00-0027006,Kenneth Britt,WR,75,547.3,-8.3,-2.132
00-0029580,Rishard Matthews,WR,75,542.1,-8.275,-2.137
00-0031511,DeAndrew White,WR,21,9.0,-3.8,-2.137
00-0034808,John Kelly,RB,21,2.2,-3.98,-2.137
00-0030047,Marquess Wilson,WR,32,121.7,-4.738,-2.138
00-0031743,Akeem Hunt,RB,22,21.1,-3.882,-2.139
00-0033550,Davis Webb,QB,20,-0.3,-4.049,-2.139
00-0037741,Jahan Dotson,WR,47,251.8,-6.012,-2.145
00-0031547,DeVante Parker,WR,105,844.7,-10.59,-2.154
00-0037276,Tykevious Chandler,RB,29,75.6,-4.624,-2.157
00-0031431,Marqise Lee,WR,59,380.3,-6.907,-2.159
00-0034765,Tre'Quan Smith,WR,55,341.7,-6.569,-2.161
00-0029638,Michael Floyd,WR,83,621.0,-8.984,-2.164
00-0034331,Jaylen Samuels,RB,36,150.2,-5.192,-2.167
00-0034115,Jeffery Wilson,RB,55,337.1,-6.87,-2.17
00-0036254,Collin Johnson,WR,28,77.9,-4.398,-2.171
00-0029588,Daniel Herron,RB,29,76.8,-4.602,-2.172
00-0033559,Michael Roberts,TE,26,52.1,-4.125,-2.173
00-0029590,Taylor Thompson,TE,23,23.6,-3.957,-2.176
00-0036439,Tyrie Cleveland,WR,21,8.6,-3.822,-2.18
00-0031302,Colton Fiedorowicz,TE,43,218.5,-5.502,-2.181
00-0030671,Isaiah Burse,WR,20,0.0,-3.731,-2.183
00-0035329,Donald Parham,TE,40,183.0,-5.018,-2.186
00-0027893,Damian Williams,WR,29,86.5,-4.602,-2.188
00-0028352,Dane Sanzenbacher,WR,23,25.8,-4.077,-2.19
