season,week,player_id,name,pos,pts,pts_above_avg,pts_above_repl,WAA_week,WAR_week,week_sigma,startable
2014,1,00-0029510,Jonathan Grimes,RB,0.2,-17.9,-11.4,-0.1878,-0.1224,25.9,0
2014,1,00-0027139,John Phillips,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0029006,Saalim Hakim,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0029634,James Hanna,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0030388,Joseph Randle,RB,0.0,-18.1,-11.6,-0.1897,-0.1245,25.9,0
2014,1,00-0031381,Davante Adams,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0028156,Ryan Taylor,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0024535,Eric Weems,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0027712,Joseph McKnight,RB,0.0,-18.1,-11.6,-0.1897,-0.1245,25.9,0
2014,1,00-0030860,Orleans Darkwa,RB,0.0,-18.1,-11.6,-0.1897,-0.1245,25.9,0
2014,1,00-0028093,Niles Paul,TE,12.6,-6.29,1.0,-0.0683,0.0109,25.9,1
2014,1,00-0026498,John Stafford,QB,30.04,12.05,18.4,0.1291,0.1926,25.9,1
2014,1,00-0027861,Clifford Spiller,RB,15.4,-2.7,3.8,-0.0295,0.0414,25.9,1
2014,1,00-0024217,Reginald Bush,RB,12.4,-5.7,0.8,-0.062,0.0087,25.9,1
2014,1,00-0030526,Erik Manuel,QB,16.82,-1.17,5.18,-0.0128,0.0563,25.9,1
2014,1,00-0027714,Dennis Pitta,TE,23.3,4.41,11.7,0.048,0.1255,25.9,1
2014,1,00-0027005,Hakeem Nicks,WR,14.6,-2.89,2.8,-0.0315,0.0305,25.9,1
2014,1,00-0022044,Andre Johnson,WR,15.3,-2.19,3.5,-0.0239,0.0381,25.9,1
2014,1,00-0029129,Rod Streater,WR,15.6,-1.89,3.8,-0.0206,0.0414,25.9,1
2014,1,00-0027218,Joique Bell,RB,11.6,-6.5,0.0,-0.0706,0.0,25.9,0
2014,1,00-0029632,Mohamed Sanu,WR,10.0,-7.49,-1.8,-0.0811,-0.0196,25.9,0
2014,1,00-0029141,Alfred Morris,RB,9.1,-9.0,-2.5,-0.0972,-0.0273,25.9,0
2014,1,00-0028043,Roy Helu,RB,8.1,-10.0,-3.5,-0.1078,-0.0381,25.9,0
2014,1,00-0024242,DeAngelo Williams,RB,7.2,-10.9,-4.4,-0.1172,-0.0479,25.9,0
2014,1,00-0029697,Jacoby Fleener,TE,6.6,-12.29,-5.0,-0.1316,-0.0544,25.9,0
2014,1,00-0027772,Anthony Dixon,RB,6.0,-12.1,-5.6,-0.1297,-0.0609,25.9,0
2014,1,00-0026364,Steven Johnson,WR,5.3,-12.19,-6.5,-0.1305,-0.0705,25.9,0
2014,1,00-0022127,Christopher Witten,TE,4.4,-14.49,-7.2,-0.154,-0.078,25.9,0
2014,1,00-0024275,Maurice Jones-Drew,RB,3.3,-14.8,-8.3,-0.1572,-0.0898,25.9,0
2014,1,00-0029273,Robert Turbin,RB,2.7,-15.4,-8.9,-0.1632,-0.0961,25.9,0
2014,1,00-0028050,Gregory Salas,WR,2.2,-15.29,-9.6,-0.162,-0.1035,25.9,0
2014,1,00-0026937,Brandon Gibson,WR,1.9,-15.59,-9.9,-0.165,-0.1067,25.9,0
2014,1,00-0029435,Damaris Johnson,WR,1.1,-16.39,-10.7,-0.173,-0.1151,25.9,0
2014,1,00-0020679,Shaun Hill,QB,0.14,-17.85,-11.5,-0.1873,-0.1234,25.9,0
2014,1,00-0030705,Juwan Thompson,RB,0.0,-18.1,-11.6,-0.1897,-0.1245,25.9,0
2014,1,00-0029091,Bradley Sowell,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0027595,Bryan Walters,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0026267,Jacob Tamme,TE,0.0,-18.89,-11.6,-0.1972,-0.1245,25.9,0
2014,1,00-0030035,Adam Thielen,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
2014,1,00-0027708,Marcus Easley,WR,0.0,-17.49,-11.8,-0.1837,-0.1265,25.9,0
