player_id,name,pos,gp,pts,ppg,pts_above_avg,pts_above_repl,WAA,WAR,pts_above_waiver,VoWP
00-0027893,Damian Williams,WR,6,25.6,4.27,-76.5,-25.8,-0.889,-0.307,,
00-0026432,Lance Ball,RB,4,8.6,2.15,-64.0,-28.7,-0.675,-0.308,,
00-0027026,Mohamed Massaquoi,WR,12,82.8,6.9,-121.1,-28.5,-1.349,-0.312,,
00-0026899,Shonn Greene,RB,13,89.7,6.9,-135.1,-27.5,-1.526,-0.313,,
00-0027257,Roderick Toston,RB,4,8.7,2.17,-58.8,-27.7,-0.656,-0.315,,
00-0022178,Willis McGahee,RB,12,78.5,6.54,-130.4,-30.0,-1.43,-0.32,,
00-0023679,William Bajema,TE,8,46.5,5.81,-79.7,-29.1,-0.877,-0.321,,
00-0025462,Laurent Robinson,WR,10,62.7,6.27,-110.0,-28.9,-1.23,-0.322,,
00-0026963,Cameron Morrah,TE,5,16.3,3.26,-58.7,-28.4,-0.667,-0.324,,
00-0024301,John Thomas,TE,12,78.9,6.58,-108.4,-29.2,-1.236,-0.332,,
00-0021929,Donald Lee,TE,6,22.8,3.8,-70.6,-29.4,-0.801,-0.334,,
00-0026178,John Carlson,TE,11,70.7,6.43,-105.4,-30.5,-1.177,-0.342,,
00-0021159,Jerramy Stevens,TE,4,8.8,2.2,-57.4,-30.3,-0.637,-0.344,,
00-0027356,Marlon Moore,WR,5,16.7,3.34,-67.3,-29.5,-0.76,-0.344,,
00-0024389,Hubert Walker,TE,10,61.1,6.11,-100.5,-30.7,-1.121,-0.345,,
00-0016098,Frederick Taylor,RB,5,14.9,2.98,-71.6,-30.4,-0.8,-0.345,,
00-0023752,Daniel Fells,TE,13,86.2,6.63,-119.5,-31.8,-1.338,-0.346,,
00-0027349,Stephen Williams,WR,5,14.5,2.9,-69.4,-30.3,-0.779,-0.346,,
00-0027753,Andrew Quarless,TE,9,50.0,5.56,-88.1,-31.2,-0.988,-0.349,,
00-0027654,Arrelious Benn,WR,11,70.0,6.36,-122.3,-31.6,-1.359,-0.352,,
00-0024559,Danny Ware,RB,5,14.0,2.8,-74.2,-30.5,-0.841,-0.353,,
